row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
Salahuddin campaign_Q19574810,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,American-led intervention in Iraq (2014–present)_Q18159629,Salahuddin campaign_Q19574810,Siege of Amirli_Q17984925,NA,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,2003 attack on Karbala_Q4276950,NA
Battle of Al Faw (2003)_Q1930510,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Al Faw (2003)_Q1930510,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Al Kut (2003)_Q18639484,NA
Battle of Baghdad (2003)_Q1804983,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Baghdad (2003)_Q1804983,NA
Battle of Basra (2003)_Q2585300,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Basra (2003)_Q2585300,NA
Battle of Debecka Pass_Q4870854,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Debecka Pass_Q4870854,NA
Battle of Haditha Dam_Q40889886,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Haditha Dam_Q40889886,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Hillah (2003)_Q18712789,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Karbala (2003)_Q4178089,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Najaf (2003)_Q2068122,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Najaf (2007)_Q4871848,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Nasiriyah_Q718851,NA
Battle of Samawah (2003)_Q4872256,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Samawah (2003)_Q4872256,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of the Karbala Gap (2003)_Q2888908,NA
,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Battle of Umm Qasr_Q2237268,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Objective Buford_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Abalone_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Abilene_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Agave L_,NA
